Feature,Importance
num__Total_Trans_Ct,0.18
num__Total_Revolving_Bal,0.16
num__Total_Relationship_Count,0.1
num__Total_Ct_Chng_Q4_Q1,0.05
num__Total_Trans_Amt,0.05
cat__Gender_F,0.05
num__Months_Inactive_12_mon,0.04
num__Total_Amt_Chng_Q4_Q1,0.03
num__Contacts_Count_12_mon,0.03
num__Amount_per_credit,0.03
num__Customer_Age,0.02
num__Credit_Limit,0.02
num__Avg_Open_To_Buy,0.02
cat__Marital_Status_Married,0.02
num__Months_on_book,0.02
num__Avg_Utilization_Ratio,0.01
cat__Education_Level_Post-Graduate,0.01
cat__Marital_Status_Divorced,0.01
cat__Marital_Status_Single,0.01
num__Dependent_count,0.01
cat__Education_Level_Doctorate,0.01
num__Credit_Age_ratio,0.01
cat__Education_Level_College,0.01
num__Amount_count_per_credit,0.01
cat__Income_Category_$80K - $120K,0.01
cat__Income_Category_Less than $40K,0.01
num__Utilization_per_Age,0.01
cat__Income_Category_$40K - $60K,0.01
num__Tenure_Age_ratio,0.01
cat__Marital_Status_Unknown,0.01
cat__Education_Level_High School,0.01
cat__Education_Level_Unknown,0.01
cat__Card_Category_Blue,0.01
cat__Education_Level_Uneducated,0.01
cat__Income_Category_$120K +,0.01
cat__Education_Level_Graduate,0.01
cat__Gender_M,0.0
cat__Income_Category_$60K - $80K,0.0
cat__Income_Category_Unknown,0.0
cat__Card_Category_Gold,0.0
cat__Card_Category_Platinum,0.0
cat__Card_Category_Silver,0.0
